ts,swod_held_groups,swod_skip_cnt,swod_hold_cnt,swod_success_release_cnt
2026-04-06 04:54:45,64,12330,65729,41363
2026-04-06 04:54:46,64,12330,66347,41363
2026-04-06 04:54:47,35,12333,66551,41363
2026-04-06 04:54:48,55,12393,66819,41363
2026-04-06 04:54:49,64,12474,67115,41363
2026-04-06 04:54:50,54,12597,67382,41363
2026-04-06 04:54:51,56,12738,67651,41363
2026-04-06 04:54:52,55,12896,67905,41363
2026-04-06 04:54:53,56,13103,68169,41363
2026-04-06 04:54:54,53,13305,68409,41363
2026-04-06 04:54:55,50,13512,68654,41363
2026-04-06 04:54:56,33,13762,68856,41363
2026-04-06 04:54:57,54,14031,69108,41363
2026-04-06 04:54:58,51,14313,69323,41363
2026-04-06 04:54:59,48,14598,69525,41363
2026-04-06 04:55:00,47,14892,69726,41363
2026-04-06 04:55:01,40,15180,69909,41363
2026-04-06 04:55:02,44,15472,70120,41363
2026-04-06 04:55:03,43,15831,70298,41363
2026-04-06 04:55:04,46,16198,70492,41363
2026-04-06 04:55:05,32,16525,70639,41363
2026-04-06 04:55:06,43,16893,70819,41363
2026-04-06 04:55:07,44,17247,70999,41363
2026-04-06 04:55:08,37,17574,71162,41363
2026-04-06 04:55:09,29,17899,71305,41363
2026-04-06 04:55:10,31,18194,71461,41363
2026-04-06 04:55:11,34,18507,71606,41363
2026-04-06 04:55:12,29,18843,71743,41363
2026-04-06 04:55:13,31,19156,71882,41363
2026-04-06 04:55:14,42,19513,72027,41363
2026-04-06 04:55:15,22,19861,72173,41363
2026-04-06 04:55:16,36,20223,72327,41363
2026-04-06 04:55:17,25,20610,72543,41455
2026-04-06 04:55:18,24,20948,73115,41900
2026-04-06 04:55:19,40,21279,73837,42507
2026-04-06 04:55:20,1,21432,86307,54974
2026-04-06 04:55:21,1,21432,90129,58755
2026-04-06 04:55:22,64,21432,93328,61868
2026-04-06 04:55:23,64,21432,93773,61868
2026-04-06 04:55:24,64,21432,94291,61868
2026-04-06 04:55:25,64,21432,94844,61868
2026-04-06 04:55:26,64,21432,95396,61868
2026-04-06 04:55:27,64,21432,95983,61868
2026-04-06 04:55:28,64,21432,96648,61868
2026-04-06 04:55:29,0,21432,96804,61868
2026-04-06 04:55:30,0,21432,96804,61868
2026-04-06 04:55:31,0,21432,96804,61868
