1000, 977996, 1, 0, 0
1999, 1030934, 1, 0, 0
3000, 1009020, 1, 0, 0
4000, 993312, 1, 0, 0
5000, 1001632, 1, 0, 0
5999, 989365, 1, 0, 0
7000, 979004, 1, 0, 0
8000, 978920, 1, 0, 0
8999, 1009521, 1, 0, 0
10000, 1000492, 1, 0, 0
11000, 977600, 1, 0, 0
12000, 986300, 1, 0, 0
12999, 1017353, 1, 0, 0
14000, 974908, 1, 0, 0
15000, 1001720, 1, 0, 0
16000, 1020344, 1, 0, 0
16999, 976984, 1, 0, 0
18000, 987388, 1, 0, 0
19000, 1002232, 1, 0, 0
20000, 977184, 1, 0, 0
20999, 993125, 1, 0, 0
22000, 1006916, 1, 0, 0
23000, 1013520, 1, 0, 0
24000, 997448, 1, 0, 0
24999, 1005329, 1, 0, 0
26000, 976100, 1, 0, 0
27000, 984556, 1, 0, 0
28000, 997872, 1, 0, 0
28999, 1001433, 1, 0, 0
30000, 957236, 1, 0, 0
31000, 1005728, 1, 0, 0
32000, 1001136, 1, 0, 0
32999, 974614, 1, 0, 0
34000, 999412, 1, 0, 0
35000, 1001116, 1, 0, 0
36000, 1006388, 1, 0, 0
37000, 1009516, 1, 0, 0
37999, 996732, 1, 0, 0
39000, 997920, 1, 0, 0
40000, 995988, 1, 0, 0
41000, 985536, 1, 0, 0
42000, 977593, 1, 0, 0
43000, 991480, 1, 0, 0
44000, 1012280, 1, 0, 0
45000, 998822, 1, 0, 0
46000, 970628, 1, 0, 0
46999, 1002926, 1, 0, 0
48000, 1013956, 1, 0, 0
49000, 987452, 1, 0, 0
50000, 1024216, 1, 0, 0
51000, 1005332, 1, 0, 0
52000, 977665, 1, 0, 0
53000, 980884, 1, 0, 0
53999, 1008892, 1, 0, 0
55000, 974624, 1, 0, 0
56000, 995488, 1, 0, 0
57000, 1025357, 1, 0, 0
58000, 991040, 1, 0, 0
59000, 977736, 1, 0, 0
60000, 1013049, 1, 0, 0
61000, 992164, 1, 0, 0
62000, 989392, 1, 0, 0
63000, 1022422, 1, 0, 0
64000, 1029684, 1, 0, 0
65000, 1081088, 1, 0, 0
66000, 987319, 1, 0, 0
67000, 1019212, 1, 0, 0
68000, 992220, 1, 0, 0
69000, 993121, 1, 0, 0
70000, 998304, 1, 0, 0
71000, 959023, 1, 0, 0
72000, 1000140, 1, 0, 0
73000, 999292, 1, 0, 0
74000, 974202, 1, 0, 0
75000, 990648, 1, 0, 0
76000, 985629, 1, 0, 0
77000, 973200, 1, 0, 0
78000, 993045, 1, 0, 0
79000, 996284, 1, 0, 0
79999, 1016988, 1, 0, 0
81000, 982744, 1, 0, 0
81999, 1007703, 1, 0, 0
